,CWE,Title,Description,Extended Description,Examples
126,CWE-201,Insertion of Sensitive Information Into Sent Data,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor. ","Sensitive information could include data that is sensitive in and of itself (such as credentials or private messages), or otherwise useful in the further exploitation of the system (such as internal file system structure). ","Example 1
The following is an actual MySQL error statement:
(result)
Example Language: 
SQL 


Warning: mysql_pconnect(): Access denied for user: 'root@localhost' (Using password: N1nj4) in /usr/local/www/wi-data/includes/database.inc on line 4


The error clearly exposes the database credentials."
127,CWE-202,Exposure of Sensitive Information Through Data Queries,"When trying to keep information confidential, an attacker can often infer some of the information by using statistics. ","In situations where data should not be tied to individual users, but a large number of users should be able to make queries that ""scrub"" the identity of users, it may be possible to get information about a user -- e.g., by specifying search terms that are known to be unique to that user. ","Example 1
See the book Translucent Databases for examples."
128,CWE-203,Observable Discrepancy,"The product behaves differently or sends different responses under different circumstances in a way that is observable to an unauthorized actor, which exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not. ","Discrepancies can take many forms, and variations may be detectable in timing, control flow, communications such as replies or requests, or general behavior. These discrepancies can reveal information about the product's operation or internal state to an unauthorized actor. In some cases, discrepancies can be used by attackers to form a side channel. ","Example 1
The following code checks validity of the supplied username and password and notifies the user of a successful or failed login.
(bad code)
Example Language: 
Perl 


my $username=param('username');
                  
my $password=param('password');
                  


if (IsValidUsername($username) == 1)
                  
{
                  
if (IsValidPassword($username, $password) == 1)
                  
{
                  
print ""Login Successful"";
                  
}
                  
else
                  
{
                  
print ""Login Failed - incorrect password"";
                  
}
                  
}
                  
else
                  
{
                  
print ""Login Failed - unknown username"";
                  
}
                  


In the above code, there are different messages for when an incorrect username is supplied, versus when the username is correct but the password is wrong. This difference enables a potential attacker to understand the state of the login function, and could allow an attacker to discover a valid username by trying different values until the incorrect password message is returned. In essence, this makes it easier for an attacker to obtain half of the necessary authentication credentials.
While this type of information may be helpful to a user, it is also useful to a potential attacker. In the above example, the message for both failed cases should be the same, such as:
(result)
 


""Login Failed - incorrect username or password""


Example 2
In this example, the attacker observes how long an authentication takes when the user types in the correct password.
When the attacker tries their own values, they can first try strings of various length. When they find a string of the right length, the computation will take a bit longer, because the for loop will run at least once. Additionally, with this code, the attacker can possibly learn one character of the password at a time, because when they guess the first character right, the computation will take longer than a wrong guesses. Such an attack can break even the most sophisticated password with a few hundred guesses.
(bad code)
Example Language: 
Python 


def validate_password(actual_pw, typed_pw):
		 


if len(actual_pw) <> len(typed_pw):
		   
return 0


for i in len(actual_pw):
		   
if actual_pw[i] <> typed_pw[i]:
		   
return 0




return 1






Note that in this example, the actual password must be handled in constant time as far as the attacker is concerned, even if the actual password is of an unusual length. This is one reason why it is good to use an algorithm that, among other things, stores a seeded cryptographic one-way hash of the password, then compare the hashes, which will always be of the same length.
Example 3
Non-uniform processing time causes timing channel.
(bad code)
 
Suppose an algorithm for implementing an encryption routine works fine per se, but the time taken to output the result of the encryption routine depends on a relationship between the input plaintext and the key (e.g., suppose, if the plaintext is similar to the key, it would run very fast).
In the example above, an attacker may vary the inputs, then observe differences between processing times (since different plaintexts take different time). This could be used to infer information about the key.
(good code)
 
Artificial delays may be added to ensured all calculations take equal time to execute.
Example 4
Suppose memory access patterns for an encryption routine are dependent on the secret key.
An attacker can recover the key by knowing if specific memory locations have been accessed or not.  The value stored at those memory locations is irrelevant.  The encryption routine's memory accesses will affect the state of the processor cache.  If cache resources are shared across contexts, after the encryption routine completes, an attacker in different execution context can discover which memory locations the routine accessed by measuring the time it takes for their own memory accesses to complete."
129,CWE-204,Observable Response Discrepancy,The product provides different responses to incoming requests in a way that reveals internal state information to an unauthorized actor outside of the intended control sphere. ,"This issue frequently occurs during authentication, where a difference in failed-login messages could allow an attacker to determine if the username is valid or not. These exposures can be inadvertent (bug) or intentional (design). ","Example 1
The following code checks validity of the supplied username and password and notifies the user of a successful or failed login.
(bad code)
Example Language: 
Perl 


my $username=param('username');
                  
my $password=param('password');
                  


if (IsValidUsername($username) == 1)
                  
{
                  
if (IsValidPassword($username, $password) == 1)
                  
{
                  
print ""Login Successful"";
                  
}
                  
else
                  
{
                  
print ""Login Failed - incorrect password"";
                  
}
                  
}
                  
else
                  
{
                  
print ""Login Failed - unknown username"";
                  
}
                  


In the above code, there are different messages for when an incorrect username is supplied, versus when the username is correct but the password is wrong. This difference enables a potential attacker to understand the state of the login function, and could allow an attacker to discover a valid username by trying different values until the incorrect password message is returned. In essence, this makes it easier for an attacker to obtain half of the necessary authentication credentials.
While this type of information may be helpful to a user, it is also useful to a potential attacker. In the above example, the message for both failed cases should be the same, such as:
(result)
 


""Login Failed - incorrect username or password""

"
130,CWE-205,Observable Behavioral Discrepancy,"The product's behaviors indicate important differences that may be observed by unauthorized actors in a way that reveals (1) its internal state or decision process, or (2) differences from other products with equivalent functionality. ","Ideally, a product should provide as little information about its internal operations as possible. Otherwise, attackers could use knowledge of these internal operations to simplify or optimize their attack. In some cases, behavioral discrepancies can be used by attackers to form a side channel. ",
131,CWE-206,Observable Internal Behavioral Discrepancy,"The product performs multiple behaviors that are combined to produce a single result, but the individual behaviors are observable separately in a way that allows attackers to reveal internal state or internal decision points. ","Ideally, a product should provide as little information as possible to an attacker. Any hints that the attacker may be making progress can then be used to simplify or optimize the attack. For example, in a login procedure that requires a username and password, ultimately there is only one decision: success or failure. However, internally, two separate actions are performed: determining if the username exists, and checking if the password is correct. If the product behaves differently based on whether the username exists or not, then the attacker only needs to concentrate on the password. ",
132,CWE-207,Observable Behavioral Discrepancy With Equivalent Products,"The product operates in an environment in which its existence or specific identity should not be known, but it behaves differently than other products with equivalent functionality, in a way that is observable to an attacker. ","For many kinds of products, multiple products may be available that perform the same functionality, such as a web server, network interface, or intrusion detection system. Attackers often perform ""fingerprinting,"" which uses discrepancies in order to identify which specific product is in use. Once the specific product has been identified, the attacks can be made more customized and efficient. Often, an organization might intentionally allow the specific product to be identifiable. However, in some environments, the ability to identify a distinct product is unacceptable, and it is expected that every product would behave in exactly the same way. In these more restricted environments, a behavioral difference might pose an unacceptable risk if it makes it easier to identify the product's vendor, model, configuration, version, etc. ",
133,CWE-208,Observable Timing Discrepancy,"Two separate operations in a product require different amounts of time to complete, in a way that is observable to an actor and reveals security-relevant information about the state of the product, such as whether a particular operation was successful or not. ","In security-relevant contexts, even small variations in timing can be exploited by attackers to indirectly infer certain details about the product's internal operations. For example, in some cryptographic algorithms, attackers can use timing differences to infer certain properties about a private key, making the key easier to guess. Timing discrepancies effectively form a timing side channel. ","Example 1
Consider an example hardware module that checks a user-provided password to grant access to a user. The user-provided password is compared against a golden value in a byte-by-byte manner.
(bad code)
Example Language: 
Verilog 

                    always_comb @ (posedge clk)



                    begin



                      assign check_pass[3:0] = 4'b0;

                      for (i = 0; i < 4; i++) begin



                    	if (entered_pass[(i*8 - 1) : i] eq golden_pass([i*8 - 1) : i])



			  assign check_pass[i] = 1;

                    	  continue;



                    	else



                    	  assign check_pass[i] = 0;

                    	  break;



                    	end



                      assign grant_access = (check_pass == 4'b1111) ? 1'b1: 1'b0;



                    end


Since the code breaks on an incorrect entry of password, an attacker can guess the correct password for that byte-check iteration with few repeat attempts.
To fix this weakness, either the comparison of the entire string should be done all at once, or the attacker is not given an indication whether pass or fail happened by allowing the comparison to run through all bits before the grant_access signal is set.
(good code)
 

                  always_comb @ (posedge clk)

		  begin



                    assign check_pass[3:0] = 4'b0;

               	    for (i = 0; i < 4; i++) begin



               	      if (entered_pass[(i*8 - 1) : i] eq golden_pass([i*8 -1) : i])



               		assign check_pass[i] = 1;

               		continue;



               	      else



               		assign check_pass[i] = 0;

               		continue;



               	      end



               	    assign grant_access = (check_pass == 4'b1111) ? 1'b1: 1'b0;



		  end


Example 2
In this example, the attacker observes how long an authentication takes when the user types in the correct password.
When the attacker tries their own values, they can first try strings of various length. When they find a string of the right length, the computation will take a bit longer, because the for loop will run at least once. Additionally, with this code, the attacker can possibly learn one character of the password at a time, because when they guess the first character right, the computation will take longer than a wrong guesses. Such an attack can break even the most sophisticated password with a few hundred guesses.
(bad code)
Example Language: 
Python 


def validate_password(actual_pw, typed_pw):
		 


if len(actual_pw) <> len(typed_pw):
		   
return 0


for i in len(actual_pw):
		   
if actual_pw[i] <> typed_pw[i]:
		   
return 0




return 1






Note that in this example, the actual password must be handled in constant time as far as the attacker is concerned, even if the actual password is of an unusual length. This is one reason why it is good to use an algorithm that, among other things, stores a seeded cryptographic one-way hash of the password, then compare the hashes, which will always be of the same length."
134,CWE-209,Generation of Error Message Containing Sensitive Information,"The product generates an error message that includes sensitive information about its environment, users, or associated data. ","The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more serious attacks. The error message may be created in different ways: self-generated: the source code explicitly constructs the error message and delivers it externally-generated: the external environment, such as a language interpreter, handles the error and constructs its own message, whose contents are not under direct control by the programmer An attacker may use the contents of error messages to help launch another, more focused attack. For example, an attempt to exploit a path traversal weakness (CWE-22) might yield the full pathname of the installed application. In turn, this could be used to select the proper number of "".."" sequences to navigate to the targeted file. An attack using SQL injection (CWE-89) might not initially succeed, but an error message could reveal the malformed query, which would expose query logic and possibly even passwords or other sensitive information used within the query. ","Example 1
In the following example, sensitive information might be printed depending on the exception that occurs.
(bad code)
Example Language: 
Java 


try {
/.../
}
catch (Exception e) {
System.out.println(e);
}


If an exception related to SQL is handled by the catch, then the output might contain sensitive information such as SQL query structure or private information. If this output is redirected to a web user, this may represent a security problem.
Example 2
This code tries to open a database connection, and prints any exceptions that occur.
(bad code)
Example Language: 
PHP 


try {
openDbConnection();
}


//print exception message that includes exception message and configuration file location


catch (Exception $e) {
echo 'Caught exception: ', $e->getMessage(), '\n';
echo 'Check credentials in config file at: ', $Mysql_config_location, '\n';
}


If an exception occurs, the printed message exposes the location of the configuration file the script is using. An attacker can use this information to target the configuration file (perhaps exploiting a Path Traversal weakness). If the file can be read, the attacker could gain credentials for accessing the database. The attacker may also be able to replace the file with a malicious one, causing the application to use an arbitrary database.
Example 3
The following code generates an error message that leaks the full pathname of the configuration file.
(bad code)
Example Language: 
Perl 


$ConfigDir = ""/home/myprog/config"";
$uname = GetUserInput(""username"");




# avoid 
CWE-22
, 
CWE-78
, others. 


ExitError(""Bad hacker!"") if ($uname !~ /^\w+$/);
$file = ""$ConfigDir/$uname.txt"";
if (! (-e $file)) {
ExitError(""Error: $file does not exist"");
}
...


If this code is running on a server, such as a web application, then the person making the request should not know what the full pathname of the configuration directory is. By submitting a username that does not produce a $file that exists, an attacker could get this pathname. It could then be used to exploit path traversal or symbolic link following problems that may exist elsewhere in the application.
Example 4
In the example below, the method getUserBankAccount retrieves a bank account object from a database using the supplied username and account number to query the database. If an SQLException is raised when querying the database, an error message is created and output to a log file.
(bad code)
Example Language: 
Java 


public BankAccount getUserBankAccount(String username, String accountNumber) {


BankAccount userAccount = null;
String query = null;
try {
if (isAuthorizedUser(username)) {
query = ""SELECT * FROM accounts WHERE owner = ""
+ username + "" AND accountID = "" + accountNumber;
DatabaseManager dbManager = new DatabaseManager();
Connection conn = dbManager.getConnection();
Statement stmt = conn.createStatement();
ResultSet queryResult = stmt.executeQuery(query);
userAccount = (BankAccount)queryResult.getObject(accountNumber);
}
} catch (SQLException ex) {
String logMessage = ""Unable to retrieve account information from database,\nquery: "" + query;
Logger.getLogger(BankManager.class.getName()).log(Level.SEVERE, logMessage, ex);
}
return userAccount;


}


The error message that is created includes information about the database query that may contain sensitive information about the database or query logic. In this case, the error message will expose the table name and column names used in the database. This data could be used to simplify other attacks, such as SQL injection (
CWE-89
) to directly access the database. "
135,CWE-210,Self-generated Error Message Containing Sensitive Information,The product identifies an error condition and creates its own diagnostic or error messages that contain sensitive information. ,"This table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Research Concepts"" (CWE-1000)NatureTypeIDNameChildOfBase - a weakness 
that is still mostly independent of a resource or technology, but with sufficient details to provide specific methods for detection and prevention. Base level weaknesses typically describe issues in terms of 2 or 3 of the following dimensions: behavior, property, technology, language, and resource.209Generation of Error Message Containing Sensitive InformationThis table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Architectural Concepts"" (CWE-1008)NatureTypeIDNameMemberOfCategory - a CWE entry that contains a set of other entries that share a common characteristic.1016Limit Exposure","Example 1
The following code uses custom configuration files for each user in the application. It checks to see if the file exists on the system before attempting to open and use the file. If the configuration file does not exist, then an error is generated, and the application exits.
(bad code)
Example Language: 
Perl 


$uname = GetUserInput(""username"");






# avoid 
CWE-22
, 
CWE-78
, others. 


if ($uname !~ /^\w+$/)
{
ExitError(""Bad hacker!"") ;
}


$filename = ""/home/myprog/config/"" . $uname . "".txt"";
if (!(-e $filename))
{
ExitError(""Error: $filename does not exist"");
}


If this code is running on a server, such as a web application, then the person making the request should not know what the full pathname of the configuration directory is. By submitting a username that is not associated with a configuration file, an attacker could get this pathname from the error message. It could then be used to exploit path traversal, symbolic link following, or other problems that may exist elsewhere in the application."
136,CWE-211,Externally-Generated Error Message Containing Sensitive Information,"The product performs an operation that triggers an external diagnostic or error message that is not directly generated or controlled by the product, such as an error generated by the programming language interpreter that a software application uses. The error can contain sensitive system information. ","This table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Research Concepts"" (CWE-1000)NatureTypeIDNameChildOfBase - a weakness 
that is still mostly independent of a resource or technology, but with sufficient details to provide specific methods for detection and prevention. Base level weaknesses typically describe issues in terms of 2 or 3 of the following dimensions: behavior, property, technology, language, and resource.209Generation of Error Message Containing Sensitive InformationParentOfVariant - a weakness 
that is linked to a certain type of product, typically involving a specific language or technology. More specific than a Base weakness. Variant level weaknesses typically describe issues in terms of 3 to 5 of the following dimensions: behavior, property, technology, language, and resource.535Exposure of Information Through Shell Error MessageParentOfVariant - a weakness 
that is linked to a certain type of product, typically involving a specific language or technology. More specific than a Base weakness. Variant level weaknesses typically describe issues in terms of 3 to 5 of the following dimensions: behavior, property, technology, language, and resource.536Servlet Runtime Error Message Containing Sensitive InformationParentOfVariant - a weakness 
that is linked to a certain type of product, typically involving a specific language or technology. More specific than a Base weakness. Variant level weaknesses typically describe issues in terms of 3 to 5 of the following dimensions: behavior, property, technology, language, and resource.537Java Runtime Error Message Containing Sensitive InformationThis table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Architectural Concepts"" (CWE-1008)NatureTypeIDNameMemberOfCategory - a CWE entry that contains a set of other entries that share a common characteristic.1016Limit Exposure","Example 1
The following servlet code does not catch runtime exceptions, meaning that if such an exception were to occur, the container may display potentially dangerous information (such as a full stack trace).
(bad code)
Example Language: 
Java 


public void doPost(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {


String username = request.getParameter(""username"");




// May cause unchecked NullPointerException.


if (username.length() < 10) {
...
}


}


Example 2
In the following Java example the class InputFileRead enables an input file to be read using a FileReader object. In the constructor of this class a default input file path is set to some directory on the local file system and the method setInputFile must be called to set the name of the input file to be read in the default directory. The method readInputFile will create the FileReader object and will read the contents of the file. If the method setInputFile is not called prior to calling the method readInputFile then the File object will remain null when initializing the FileReader object. A Java RuntimeException will be raised, and an error message will be output to the user.
(bad code)
Example Language: 
Java 


public class InputFileRead {




private File readFile = null;
private FileReader reader = null;
private String inputFilePath = null;
private final String DEFAULT_FILE_PATH = ""c:\\somedirectory\\"";


public InputFileRead() {
inputFilePath = DEFAULT_FILE_PATH;
}


public void setInputFile(String inputFile) {






/* Assume appropriate validation / encoding is used and privileges / permissions are preserved */






}


public void readInputFile() {


try {
reader = new FileReader(readFile);
...
} catch (RuntimeException rex) {
System.err.println(""Error: Cannot open input file in the directory "" + inputFilePath);
System.err.println(""Input file has not been set, call setInputFile method before calling readInputFile"");




} catch (FileNotFoundException ex) {...}




}


}


However, the error message output to the user contains information regarding the default directory on the local file system. This information can be exploited and may lead to unauthorized access or use of the system. Any Java RuntimeExceptions that are handled should not expose sensitive information to the user."
137,CWE-212,Improper Removal of Sensitive Information Before Storage or Transfer,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors. ","Resources that may contain sensitive data include documents, packets, messages, databases, etc. While this data may be useful to an individual user or small set of users who share the resource, it may need to be removed before the resource can be shared outside of the trusted group. The process of removal is sometimes called cleansing or scrubbing. For example, a product for editing documents might not remove sensitive data such as reviewer comments or the local pathname where the document is stored. Or, a proxy might not remove an internal IP address from headers before making an outgoing request to an Internet site. ","Example 1
This code either generates a public HTML user information page or a JSON response containing the same user information.
(bad code)
Example Language: 
PHP 






// API flag, output JSON if set


$json = $_GET['json']
$username = $_GET['user']
if(!$json)
{


$record = getUserRecord($username);
foreach($record as $fieldName => $fieldValue)
{


if($fieldName == ""email_address"") {






// skip displaying user emails


continue;


}
else{
writeToHtmlPage($fieldName,$fieldValue);
}


}


}
else
{
$record = getUserRecord($username);
echo json_encode($record);
}


The programmer is careful to not display the user's e-mail address when displaying the public HTML page. However, the e-mail address is not removed from the JSON response, exposing the user's e-mail address."
138,CWE-213,Exposure of Sensitive Information Due to Incompatible Policies,"The product's intended functionality exposes information to certain actors in accordance with the developer's security policy, but this information is regarded as sensitive according to the intended security policies of other stakeholders such as the product's administrator, users, or others whose information is being processed. ","When handling information, the developer must consider whether the information is regarded as sensitive by different stakeholders, such as users or administrators. Each stakeholder effectively has its own intended security policy that the product is expected to uphold. When a developer does not treat that information as sensitive, this can introduce a vulnerability that violates the expectations of the product's users. ","Example 1
This code displays some information on a web page.
(bad code)
Example Language: 
JSP 


Social Security Number: <%= ssn %></br>Credit Card Number: <%= ccn %>


The code displays a user's credit card and social security numbers, even though they aren't absolutely necessary."
139,CWE-214,Invocation of Process Using Visible Sensitive Information,"A process is invoked with sensitive command-line arguments, environment variables, or other elements that can be seen by other processes on the operating system. ","Many operating systems allow a user to list information about processes that are owned by other users. Other users could see information such as command line arguments or environment variable settings. When this data contains sensitive information such as credentials, it might allow other users to launch an attack against the product or related resources. ","Example 1
In the example below, the password for a keystore file is read from a system property.
(bad code)
Example Language: 
Java 


String keystorePass = System.getProperty(""javax.net.ssl.keyStorePassword"");
if (keystorePass == null) {
System.err.println(""ERROR: Keystore password not specified."");
System.exit(-1);
}


...


If the property is defined on the command line when the program is invoked (using the -D... syntax), the password may be displayed in the OS process list."
140,CWE-215,Insertion of Sensitive Information Into Debugging Code,"The product inserts sensitive information into debugging code, which could expose this information if the debugging code is not disabled in production. ","When debugging, it may be necessary to report detailed information to the programmer. However, if the debugging code is not disabled when the product is operating in a production environment, then this sensitive information may be exposed to attackers. ","Example 1
The following program changes its behavior based on a debug flag.
(bad code)
Example Language: 
JSP 


<% if (Boolean.getBoolean(""debugEnabled"")) {


%>
User account number: <%= acctNo %>
<%
} %>








The code writes sensitive debug information to the client browser if the ""debugEnabled"" flag is set to true ."
141,CWE-219,Storage of File with Sensitive Data Under Web Root,"The product stores sensitive data under the web document root with insufficient access control, which might make it accessible to untrusted parties. ","Besides public-facing web pages and code, products may store sensitive data, code that is not directly invoked, or other files under the web document root of the web server. If the server is not configured or otherwise used to prevent direct access to those files, then attackers may obtain this sensitive data. ",
142,CWE-220,Storage of File With Sensitive Data Under FTP Root,"The product stores sensitive data under the FTP server root with insufficient access control, which might make it accessible to untrusted parties. ","This table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Research Concepts"" (CWE-1000)NatureTypeIDNameChildOfBase - a weakness 
that is still mostly independent of a resource or technology, but with sufficient details to provide specific methods for detection and prevention. Base level weaknesses typically describe issues in terms of 2 or 3 of the following dimensions: behavior, property, technology, language, and resource.552Files or Directories Accessible to External PartiesThis table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Architectural Concepts"" (CWE-1008)NatureTypeIDNameMemberOfCategory - a CWE entry that contains a set of other entries that share a common characteristic.1011Authorize Actors",
143,CWE-221,Information Loss or Omission,"The product does not record, or improperly records, security-relevant information that leads to an incorrect decision or hampers later analysis. ","This can be resultant, e.g. a buffer overflow might trigger a crash before the product can log the event. ","Example 1
This code logs suspicious multiple login attempts.
(bad code)
Example Language: 
PHP 


function login($userName,$password){


if(authenticate($userName,$password)){
return True;
}
else{
incrementLoginAttempts($userName);
if(recentLoginAttempts($userName) > 5){
writeLog(""Failed login attempt by User: "" . $userName . "" at "" + date('r') );
}
}


}


This code only logs failed login attempts when a certain limit is reached. If an attacker knows this limit, they can stop their attack from being discovered by avoiding the limit."
144,CWE-222,Truncation of Security-relevant Information,"The product truncates the display, recording, or processing of security-relevant information in a way that can obscure the source or nature of an attack. ","This table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Research Concepts"" (CWE-1000)NatureTypeIDNameChildOfClass - a weakness that is described in a very abstract fashion, typically independent of any specific language or technology. More specific than a Pillar Weakness, but more general than a Base Weakness. Class level weaknesses typically describe issues in terms of 1 or 2 of the following dimensions: behavior, property, and resource.221Information Loss or OmissionThis table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Software Development"" (CWE-699)NatureTypeIDNameMemberOfCategory - a CWE entry that contains a set of other entries that share a common characteristic.1210Audit / Logging Errors",
145,CWE-223,Omission of Security-relevant Information,"The product does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe. ","This table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Research Concepts"" (CWE-1000)NatureTypeIDNameChildOfClass - a weakness that is described in a very abstract fashion, typically independent of any specific language or technology. More specific than a Pillar Weakness, but more general than a Base Weakness. Class level weaknesses typically describe issues in terms of 1 or 2 of the following dimensions: behavior, property, and resource.221Information Loss or OmissionParentOfBase - a weakness 
that is still mostly independent of a resource or technology, but with sufficient details to provide specific methods for detection and prevention. Base level weaknesses typically describe issues in terms of 2 or 3 of the following dimensions: behavior, property, technology, language, and resource.778Insufficient LoggingThis table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Software Development"" (CWE-699)NatureTypeIDNameMemberOfCategory - a CWE entry that contains a set of other entries that share a common characteristic.1210Audit / Logging ErrorsThis table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Architectural Concepts"" (CWE-1008)NatureTypeIDNameMemberOfCategory - a CWE entry that contains a set of other entries that share a common characteristic.1009Audit","Example 1
This code logs suspicious multiple login attempts.
(bad code)
Example Language: 
PHP 


function login($userName,$password){


if(authenticate($userName,$password)){
return True;
}
else{
incrementLoginAttempts($userName);
if(recentLoginAttempts($userName) > 5){
writeLog(""Failed login attempt by User: "" . $userName . "" at "" + date('r') );
}
}


}


This code only logs failed login attempts when a certain limit is reached. If an attacker knows this limit, they can stop their attack from being discovered by avoiding the limit.
Example 2
This code prints the contents of a file if a user has permission.
(bad code)
Example Language: 
PHP 


function readFile($filename){


$user = getCurrentUser();
$realFile = $filename;




//resolve file if its a symbolic link


if(is_link($filename)){
$realFile = readlink($filename);
}


if(fileowner($realFile) == $user){
echo file_get_contents($realFile);
return;
}
else{
echo 'Access denied';
writeLog($user . ' attempted to access the file '. $filename . ' on '. date('r'));
}


}


While the code logs a bad access attempt, it logs the user supplied name for the file, not the canonicalized file name. An attacker can obscure their target by giving the script the name of a link to the file they are attempting to access. Also note this code contains a race condition between the is_link() and readlink() functions (
CWE-363
). "
146,CWE-224,Obscured Security-relevant Information by Alternate Name,"The product records security-relevant information according to an alternate name of the affected entity, instead of the canonical name. ","This table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Research Concepts"" (CWE-1000)NatureTypeIDNameChildOfClass - a weakness that is described in a very abstract fashion, typically independent of any specific language or technology. More specific than a Pillar Weakness, but more general than a Base Weakness. Class level weaknesses typically describe issues in terms of 1 or 2 of the following dimensions: behavior, property, and resource.221Information Loss or OmissionThis table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Software Development"" (CWE-699)NatureTypeIDNameMemberOfCategory - a CWE entry that contains a set of other entries that share a common characteristic.1210Audit / Logging ErrorsThis table shows the weaknesses and high level categories that are related to this weakness. These relationships are defined as ChildOf, ParentOf, MemberOf and give insight to similar items that may exist at higher and lower levels of abstraction. In addition, relationships such as PeerOf and CanAlsoBe are defined to show similar weaknesses that the user may want to explore. Relevant to the view ""Architectural Concepts"" (CWE-1008)NatureTypeIDNameMemberOfCategory - a CWE entry that contains a set of other entries that share a common characteristic.1009Audit","Example 1
This code prints the contents of a file if a user has permission.
(bad code)
Example Language: 
PHP 


function readFile($filename){


$user = getCurrentUser();
$realFile = $filename;




//resolve file if its a symbolic link


if(is_link($filename)){
$realFile = readlink($filename);
}


if(fileowner($realFile) == $user){
echo file_get_contents($realFile);
return;
}
else{
echo 'Access denied';
writeLog($user . ' attempted to access the file '. $filename . ' on '. date('r'));
}


}


While the code logs a bad access attempt, it logs the user supplied name for the file, not the canonicalized file name. An attacker can obscure their target by giving the script the name of a link to the file they are attempting to access. Also note this code contains a race condition between the is_link() and readlink() functions (
CWE-363
). "
